K,VI,type
2,0.07089944643101734,I_2
2,0.0,I_3
2,0.0,I_4
2,0.0,I_5
2,0.0,I_6
2,0.050870578245404766,I_2
2,0.02851598715557264,I_3
2,0.0,I_4
2,0.0,I_5
2,0.0,I_6
2,0.02851598715557264,I_2
2,0.0,I_3
2,0.0,I_4
2,0.0,I_5
2,0.0,I_6
2,0.07934705870787548,I_2
2,0.0,I_3
2,0.0,I_4
2,0.0,I_5
2,0.0,I_6
2,0.07934705870787548,I_2
2,0.0,I_3
2,0.0,I_4
2,0.0,I_5
2,0.0,I_6
3,0.3726605887707508,I_2
3,0.14552876538547543,I_3
3,0.10062002511726423,I_4
3,0.18059776910919126,I_5
3,0.05344252024739008,I_6
3,0.3125776773512458,I_2
3,0.1455597796233152,I_3
3,0.026713901718178123,I_4
3,0.026713901718178123,I_5
3,0.053412889081288356,I_6
3,0.41772198949776435,I_2
3,0.1539580427612951,I_3
3,0.04726629762067823,I_4
3,0.12106811596043918,I_5
3,0.053442520247390074,I_6
3,0.38154356876921197,I_2
3,0.18276617933777425,I_3
3,0.026713901718178123,I_4
3,0.10059019640712843,I_5
3,0.0,I_6
3,0.44893491933148927,I_2
3,0.16587392757459699,I_3
3,0.19261775877710877,I_4
3,0.07395066760326635,I_5
3,0.08008224659528623,I_6
4,1.321599178557209,I_2
4,0.8621135465103431,I_3
4,0.2532398986845751,I_4
4,0.2849389217922297,I_5
4,0.3109513744629927,I_6
4,1.11349959064424,I_2
4,0.7209126859496735,I_3
4,0.5648768715198389,I_4
4,0.42998761099711846,I_5
4,0.28891341705566576,I_6
4,1.3359649049880988,I_2
4,0.7765368144781192,I_3
4,0.4504557292863521,I_4
4,0.7009846345341556,I_5
4,0.25768249182105063,I_6
4,0.9983800693672576,I_2
4,0.7336879951447866,I_3
4,0.45096721607491064,I_4
4,0.21696117588944985,I_5
4,0.3233767744061148,I_6
4,1.193610710299161,I_2
4,0.6036323582453635,I_3
4,0.3960336502328569,I_4
4,0.42570125279598137,I_5
4,0.22312914234449804,I_6
5,1.826441474148803,I_2
5,1.2985475990861621,I_3
5,1.1448039495544338,I_4
5,0.6850606701514454,I_5
5,0.7557461167146055,I_6
5,2.1706243646133827,I_2
5,1.3642872733458573,I_3
5,1.0642883523314202,I_4
5,0.7384384415395453,I_5
5,0.7710427565477973,I_6
5,1.8351423005273828,I_2
5,1.614633851141609,I_3
5,1.071591362561386,I_4
5,0.8027033831734086,I_5
5,0.7654988459146264,I_6
5,2.4625513922135425,I_2
5,1.3029964656290696,I_3
5,1.0078047487306323,I_4
5,0.9157352045990721,I_5
5,1.0554419886102262,I_6
5,2.07099647930775,I_2
5,1.6850387031506826,I_3
5,0.8840120427498037,I_4
5,0.7843342514122394,I_5
5,0.6480396449945909,I_6
6,2.3761489377003153,I_2
6,2.4109290606610143,I_3
6,1.9142345991923684,I_4
6,1.9648104991734432,I_5
6,1.4567902060483977,I_6
6,3.0402768012121575,I_2
6,2.5284785028683796,I_3
6,1.6689562165903071,I_4
6,1.268987881029184,I_5
6,1.6255961083527493,I_6
6,3.0201474584765164,I_2
6,2.1500052074174625,I_3
6,1.5717799592863195,I_4
6,2.0957324374132837,I_5
6,1.4472214484268033,I_6
6,2.887146543490186,I_2
6,2.0999458468693875,I_3
6,1.8442769861845456,I_4
6,1.5414419577999077,I_5
6,1.3705120447333254,I_6
6,2.9222648253507897,I_2
6,2.1370303864944273,I_3
6,2.0099089320243184,I_4
6,1.6104759282111565,I_5
6,1.3392871848683354,I_6
7,3.437954984298399,I_2
7,3.0700009550857716,I_3
7,2.803306652292983,I_4
7,2.19637043533871,I_5
7,2.6796346295538265,I_6
7,3.013902959021593,I_2
7,2.6784760540368002,I_3
7,3.0181067332156646,I_4
7,2.258828313255671,I_5
7,2.48729509801949,I_6
7,3.3959025718635014,I_2
7,3.2613034375080803,I_3
7,3.0538692046198266,I_4
7,2.328676853495782,I_5
7,2.367028557242405,I_6
7,3.319257456420643,I_2
7,2.646994124165779,I_3
7,2.875675730990401,I_4
7,3.0187634141075925,I_5
7,2.2874020892184874,I_6
7,3.3804168636520693,I_2
7,3.035875675410537,I_3
7,2.6030001194507166,I_4
7,2.4462967364373625,I_5
7,2.199806921109578,I_6
